a,b,winrate_a_vs_b,matches,ci_low,ci_high
Boros Energy,Boros Energy,0.5,116,0.41,0.59
Boros Energy,Affinity,0.57,53,0.42,0.7
Boros Energy,Izzet Prowess,0.69,49,0.55,0.82
Boros Energy,Domain Aggro,0.51,53,0.37,0.65
Boros Energy,Jeskai Blink,0.44,48,0.29,0.59
Boros Energy,Amulet Titan,0.52,21,0.3,0.74
Boros Energy,Ruby Storm,0.47,38,0.31,0.64
Boros Energy,Eldrazi Tron,0.61,31,0.42,0.78
Boros Energy,Esper Reanimator,0.46,26,0.27,0.67
Boros Energy,Golgari Yawgmoth,0.52,25,0.31,0.72
Boros Energy,Eldrazi Ramp,0.45,31,0.27,0.64
Boros Energy,Tameshi Belcher,0.37,19,0.16,0.62
Boros Energy,Simic Ritual,0.56,16,0.3,0.8
Boros Energy,Esper Phelia,0.44,25,0.24,0.65
Boros Energy,Eldrazi Bloodchief Combo,0.4,10,0.12,0.74
Boros Energy,Neoform,0.23,13,0.05,0.54
Boros Energy,Azorius Control,0.58,12,0.28,0.85
Boros Energy,Mill,0.8,10,0.44,0.97
Boros Energy,Grixis Reanimator,0.6,15,0.32,0.84
Boros Energy,Jeskai Control,0.79,14,0.49,0.95
Boros Energy,Living End,0.5,10,0.19,0.81
Boros Energy,Dimir Control,0.7,10,0.35,0.93
Boros Energy,Eldrazi Aggro,0.6,5,0.15,0.95
Boros Energy,Samwise Combo,0.83,6,0.36,1.0
Boros Energy,Dimir Frog,0.4,5,0.05,0.85
Boros Energy,4 Color Omnath,0.29,7,0.04,0.71
Boros Energy,Hollow One,0.6,5,0.15,0.95
Boros Energy,Burn,0.0,2,0.0,0.84
Boros Energy,4 Color Ritual,0.75,4,0.19,0.99
Boros Energy,Mono Black Necrodominance,0.0,1,0.0,0.98
Affinity,Boros Energy,0.43,53,0.3,0.58
Affinity,Affinity,0.5,30,0.31,0.69
Affinity,Izzet Prowess,0.56,25,0.35,0.76
Affinity,Domain Aggro,0.59,27,0.39,0.78
Affinity,Jeskai Blink,0.57,23,0.34,0.77
Affinity,Amulet Titan,0.39,18,0.17,0.64
Affinity,Ruby Storm,0.36,22,0.17,0.59
Affinity,Eldrazi Tron,0.42,19,0.2,0.67
Affinity,Esper Reanimator,0.7,23,0.47,0.87
Affinity,Golgari Yawgmoth,0.59,22,0.36,0.79
Affinity,Eldrazi Ramp,0.42,19,0.2,0.67
Affinity,Tameshi Belcher,0.56,9,0.21,0.86
Affinity,Simic Ritual,0.82,11,0.48,0.98
Affinity,Esper Phelia,0.5,8,0.16,0.84
Affinity,Eldrazi Bloodchief Combo,0.18,11,0.02,0.52
Affinity,Neoform,0.5,10,0.19,0.81
Affinity,Azorius Control,0.2,5,0.01,0.72
Affinity,Mill,1.0,7,0.59,1.0
Affinity,Grixis Reanimator,0.75,4,0.19,0.99
Affinity,Jeskai Control,0.8,5,0.28,0.99
Affinity,Living End,1.0,1,0.02,1.0
Affinity,Dimir Control,0.5,8,0.16,0.84
Affinity,Eldrazi Aggro,0.5,2,0.01,0.99
Affinity,Samwise Combo,0.43,7,0.1,0.82
Affinity,Dimir Frog,0.67,3,0.09,0.99
Affinity,4 Color Omnath,0.6,5,0.15,0.95
Affinity,Hollow One,0.33,3,0.01,0.91
Affinity,Burn,1.0,3,0.29,1.0
Affinity,4 Color Ritual,0.0,1,0.0,0.98
Affinity,Mono Black Necrodominance,0.0,1,0.0,0.98
Izzet Prowess,Boros Energy,0.31,49,0.18,0.45
Izzet Prowess,Affinity,0.44,25,0.24,0.65
Izzet Prowess,Izzet Prowess,0.5,12,0.21,0.79
Izzet Prowess,Domain Aggro,0.42,19,0.2,0.67
Izzet Prowess,Jeskai Blink,0.53,17,0.28,0.77
Izzet Prowess,Amulet Titan,0.38,13,0.14,0.68
Izzet Prowess,Ruby Storm,0.38,8,0.09,0.76
Izzet Prowess,Eldrazi Tron,0.45,11,0.17,0.77
Izzet Prowess,Esper Reanimator,0.37,19,0.16,0.62
Izzet Prowess,Golgari Yawgmoth,0.55,11,0.23,0.83
Izzet Prowess,Eldrazi Ramp,0.38,8,0.09,0.76
Izzet Prowess,Tameshi Belcher,0.5,8,0.16,0.84
Izzet Prowess,Simic Ritual,0.43,7,0.1,0.82
Izzet Prowess,Esper Phelia,0.25,8,0.03,0.65
Izzet Prowess,Eldrazi Bloodchief Combo,0.75,4,0.19,0.99
Izzet Prowess,Neoform,0.17,6,0.0,0.64
Izzet Prowess,Azorius Control,0.63,8,0.24,0.91
Izzet Prowess,Mill,0.83,6,0.36,1.0
Izzet Prowess,Grixis Reanimator,0.56,9,0.21,0.86
Izzet Prowess,Jeskai Control,0.2,5,0.01,0.72
Izzet Prowess,Living End,0.0,1,0.0,0.98
Izzet Prowess,Dimir Control,0.33,3,0.01,0.91
Izzet Prowess,Eldrazi Aggro,0.2,5,0.01,0.72
Izzet Prowess,Samwise Combo,0.0,1,0.0,0.98
Izzet Prowess,Dimir Frog,0.5,4,0.07,0.93
Izzet Prowess,4 Color Omnath,0.33,3,0.01,0.91
Izzet Prowess,Hollow One,0.5,4,0.07,0.93
Izzet Prowess,Burn,0.33,3,0.01,0.91
Izzet Prowess,4 Color Ritual,0.0,1,0.0,0.98
Izzet Prowess,Mono Black Necrodominance,1.0,1,0.02,1.0
Domain Aggro,Boros Energy,0.49,53,0.35,0.63
Domain Aggro,Affinity,0.41,27,0.22,0.61
Domain Aggro,Izzet Prowess,0.58,19,0.33,0.8
Domain Aggro,Domain Aggro,0.5,14,0.23,0.77
Domain Aggro,Jeskai Blink,0.38,21,0.18,0.62
Domain Aggro,Amulet Titan,0.58,19,0.33,0.8
Domain Aggro,Ruby Storm,0.63,16,0.35,0.85
Domain Aggro,Eldrazi Tron,0.75,12,0.43,0.95
Domain Aggro,Esper Reanimator,0.4,10,0.12,0.74
Domain Aggro,Golgari Yawgmoth,0.5,12,0.21,0.79
Domain Aggro,Eldrazi Ramp,0.4,10,0.12,0.74
Domain Aggro,Tameshi Belcher,0.67,6,0.22,0.96
Domain Aggro,Simic Ritual,0.25,8,0.03,0.65
Domain Aggro,Esper Phelia,1.0,4,0.4,1.0
Domain Aggro,Eldrazi Bloodchief Combo,0.29,7,0.04,0.71
Domain Aggro,Neoform,0.4,5,0.05,0.85
Domain Aggro,Azorius Control,0.5,4,0.07,0.93
Domain Aggro,Mill,0.67,3,0.09,0.99
Domain Aggro,Grixis Reanimator,0.6,5,0.15,0.95
Domain Aggro,Jeskai Control,1.0,1,0.02,1.0
Domain Aggro,Living End,0.75,4,0.19,0.99
Domain Aggro,Dimir Control,0.0,1,0.0,0.98
Domain Aggro,Eldrazi Aggro,1.0,1,0.02,1.0
Domain Aggro,Samwise Combo,1.0,1,0.02,1.0
Domain Aggro,Dimir Frog,1.0,3,0.29,1.0
Domain Aggro,4 Color Omnath,1.0,1,0.02,1.0
Domain Aggro,Hollow One,1.0,1,0.02,1.0
Domain Aggro,Burn,1.0,2,0.16,1.0
Domain Aggro,Mono Black Necrodominance,0.5,2,0.01,0.99
Jeskai Blink,Boros Energy,0.56,48,0.41,0.71
Jeskai Blink,Affinity,0.43,23,0.23,0.66
Jeskai Blink,Izzet Prowess,0.47,17,0.23,0.72
Jeskai Blink,Domain Aggro,0.62,21,0.38,0.82
Jeskai Blink,Jeskai Blink,0.5,12,0.21,0.79
Jeskai Blink,Amulet Titan,0.53,19,0.29,0.76
Jeskai Blink,Ruby Storm,0.36,11,0.11,0.69
Jeskai Blink,Eldrazi Tron,0.27,15,0.08,0.55
Jeskai Blink,Esper Reanimator,0.55,11,0.23,0.83
Jeskai Blink,Golgari Yawgmoth,0.3,10,0.07,0.65
Jeskai Blink,Eldrazi Ramp,0.25,4,0.01,0.81
Jeskai Blink,Tameshi Belcher,0.33,12,0.1,0.65
Jeskai Blink,Simic Ritual,0.63,8,0.24,0.91
Jeskai Blink,Esper Phelia,0.29,7,0.04,0.71
Jeskai Blink,Eldrazi Bloodchief Combo,0.5,4,0.07,0.93
Jeskai Blink,Neoform,0.4,5,0.05,0.85
Jeskai Blink,Azorius Control,0.17,6,0.0,0.64
Jeskai Blink,Jeskai Control,0.44,9,0.14,0.79
Jeskai Blink,Living End,0.0,2,0.0,0.84
Jeskai Blink,Dimir Control,0.25,4,0.01,0.81
Jeskai Blink,Eldrazi Aggro,0.5,2,0.01,0.99
Jeskai Blink,Samwise Combo,0.29,7,0.04,0.71
Jeskai Blink,Dimir Frog,0.5,2,0.01,0.99
Jeskai Blink,4 Color Omnath,0.5,2,0.01,0.99
Jeskai Blink,Hollow One,0.5,2,0.01,0.99
Jeskai Blink,Burn,0.0,1,0.0,0.98
Jeskai Blink,4 Color Ritual,1.0,2,0.16,1.0
Jeskai Blink,Mono Black Necrodominance,0.0,2,0.0,0.84
Amulet Titan,Boros Energy,0.48,21,0.26,0.7
Amulet Titan,Affinity,0.61,18,0.36,0.83
Amulet Titan,Izzet Prowess,0.62,13,0.32,0.86
Amulet Titan,Domain Aggro,0.42,19,0.2,0.67
Amulet Titan,Jeskai Blink,0.47,19,0.24,0.71
Amulet Titan,Amulet Titan,0.5,14,0.23,0.77
Amulet Titan,Ruby Storm,0.56,9,0.21,0.86
Amulet Titan,Eldrazi Tron,0.5,6,0.12,0.88
Amulet Titan,Esper Reanimator,0.42,12,0.15,0.72
Amulet Titan,Golgari Yawgmoth,0.57,7,0.18,0.9
Amulet Titan,Eldrazi Ramp,0.8,5,0.28,0.99
Amulet Titan,Tameshi Belcher,0.0,6,0.0,0.46
Amulet Titan,Simic Ritual,0.5,4,0.07,0.93
Amulet Titan,Esper Phelia,0.43,7,0.1,0.82
Amulet Titan,Eldrazi Bloodchief Combo,0.4,5,0.05,0.85
Amulet Titan,Neoform,0.25,4,0.01,0.81
Amulet Titan,Azorius Control,0.67,3,0.09,0.99
Amulet Titan,Mill,0.4,5,0.05,0.85
Amulet Titan,Grixis Reanimator,0.67,3,0.09,0.99
Amulet Titan,Jeskai Control,0.0,4,0.0,0.6
Amulet Titan,Living End,0.0,3,0.0,0.71
Amulet Titan,Dimir Control,0.0,1,0.0,0.98
Amulet Titan,Samwise Combo,0.67,3,0.09,0.99
Amulet Titan,Dimir Frog,1.0,2,0.16,1.0
Amulet Titan,4 Color Omnath,0.0,2,0.0,0.84
Amulet Titan,Hollow One,0.0,1,0.0,0.98
Amulet Titan,4 Color Ritual,0.0,3,0.0,0.71
Ruby Storm,Boros Energy,0.53,38,0.36,0.69
Ruby Storm,Affinity,0.64,22,0.41,0.83
Ruby Storm,Izzet Prowess,0.63,8,0.24,0.91
Ruby Storm,Domain Aggro,0.38,16,0.15,0.65
Ruby Storm,Jeskai Blink,0.64,11,0.31,0.89
Ruby Storm,Amulet Titan,0.44,9,0.14,0.79
Ruby Storm,Ruby Storm,0.5,12,0.21,0.79
Ruby Storm,Eldrazi Tron,0.67,12,0.35,0.9
Ruby Storm,Esper Reanimator,0.44,9,0.14,0.79
Ruby Storm,Golgari Yawgmoth,0.22,9,0.03,0.6
Ruby Storm,Eldrazi Ramp,0.83,6,0.36,1.0
Ruby Storm,Tameshi Belcher,0.29,7,0.04,0.71
Ruby Storm,Simic Ritual,0.4,5,0.05,0.85
Ruby Storm,Esper Phelia,0.8,5,0.28,0.99
Ruby Storm,Eldrazi Bloodchief Combo,0.75,4,0.19,0.99
Ruby Storm,Neoform,0.0,2,0.0,0.84
Ruby Storm,Azorius Control,0.5,4,0.07,0.93
Ruby Storm,Mill,1.0,3,0.29,1.0
Ruby Storm,Grixis Reanimator,0.5,6,0.12,0.88
Ruby Storm,Jeskai Control,0.0,1,0.0,0.98
Ruby Storm,Living End,1.0,2,0.16,1.0
Ruby Storm,Dimir Control,1.0,2,0.16,1.0
Ruby Storm,Eldrazi Aggro,1.0,2,0.16,1.0
Ruby Storm,Samwise Combo,0.67,3,0.09,0.99
Ruby Storm,4 Color Omnath,0.8,5,0.28,0.99
Ruby Storm,Hollow One,1.0,1,0.02,1.0
Ruby Storm,Burn,1.0,1,0.02,1.0
Ruby Storm,4 Color Ritual,0.0,3,0.0,0.71
Ruby Storm,Mono Black Necrodominance,1.0,1,0.02,1.0
Eldrazi Tron,Boros Energy,0.39,31,0.22,0.58
Eldrazi Tron,Affinity,0.58,19,0.33,0.8
Eldrazi Tron,Izzet Prowess,0.55,11,0.23,0.83
Eldrazi Tron,Domain Aggro,0.25,12,0.05,0.57
Eldrazi Tron,Jeskai Blink,0.73,15,0.45,0.92
Eldrazi Tron,Amulet Titan,0.5,6,0.12,0.88
Eldrazi Tron,Ruby Storm,0.33,12,0.1,0.65
Eldrazi Tron,Eldrazi Tron,0.5,2,0.01,0.99
Eldrazi Tron,Esper Reanimator,0.5,6,0.12,0.88
Eldrazi Tron,Golgari Yawgmoth,0.46,13,0.19,0.75
Eldrazi Tron,Eldrazi Ramp,0.44,9,0.14,0.79
Eldrazi Tron,Tameshi Belcher,0.33,6,0.04,0.78
Eldrazi Tron,Simic Ritual,0.4,5,0.05,0.85
Eldrazi Tron,Esper Phelia,0.4,5,0.05,0.85
Eldrazi Tron,Eldrazi Bloodchief Combo,0.6,10,0.26,0.88
Eldrazi Tron,Neoform,0.33,3,0.01,0.91
Eldrazi Tron,Azorius Control,1.0,4,0.4,1.0
Eldrazi Tron,Mill,0.5,2,0.01,0.99
Eldrazi Tron,Grixis Reanimator,1.0,3,0.29,1.0
Eldrazi Tron,Jeskai Control,0.75,4,0.19,0.99
Eldrazi Tron,Living End,0.0,1,0.0,0.98
Eldrazi Tron,Dimir Control,0.33,3,0.01,0.91
Eldrazi Tron,Eldrazi Aggro,0.0,1,0.0,0.98
Eldrazi Tron,Dimir Frog,0.0,1,0.0,0.98
Eldrazi Tron,4 Color Omnath,0.6,5,0.15,0.95
Eldrazi Tron,Burn,0.5,2,0.01,0.99
Eldrazi Tron,4 Color Ritual,0.0,1,0.0,0.98
Esper Reanimator,Boros Energy,0.54,26,0.33,0.73
Esper Reanimator,Affinity,0.3,23,0.13,0.53
Esper Reanimator,Izzet Prowess,0.63,19,0.38,0.84
Esper Reanimator,Domain Aggro,0.6,10,0.26,0.88
Esper Reanimator,Jeskai Blink,0.45,11,0.17,0.77
Esper Reanimator,Amulet Titan,0.58,12,0.28,0.85
Esper Reanimator,Ruby Storm,0.56,9,0.21,0.86
Esper Reanimator,Eldrazi Tron,0.5,6,0.12,0.88
Esper Reanimator,Golgari Yawgmoth,0.44,9,0.14,0.79
Esper Reanimator,Eldrazi Ramp,0.5,4,0.07,0.93
Esper Reanimator,Tameshi Belcher,0.2,5,0.01,0.72
Esper Reanimator,Simic Ritual,0.5,4,0.07,0.93
Esper Reanimator,Esper Phelia,0.25,4,0.01,0.81
Esper Reanimator,Eldrazi Bloodchief Combo,0.75,4,0.19,0.99
Esper Reanimator,Neoform,0.0,2,0.0,0.84
Esper Reanimator,Azorius Control,0.43,7,0.1,0.82
Esper Reanimator,Mill,1.0,1,0.02,1.0
Esper Reanimator,Grixis Reanimator,0.5,4,0.07,0.93
Esper Reanimator,Jeskai Control,1.0,1,0.02,1.0
Esper Reanimator,Living End,0.67,6,0.22,0.96
Esper Reanimator,Dimir Control,0.0,1,0.0,0.98
Esper Reanimator,Eldrazi Aggro,0.0,2,0.0,0.84
Esper Reanimator,Dimir Frog,0.0,1,0.0,0.98
Esper Reanimator,4 Color Omnath,0.0,1,0.0,0.98
Esper Reanimator,Hollow One,1.0,1,0.02,1.0
Esper Reanimator,Burn,1.0,1,0.02,1.0
Esper Reanimator,4 Color Ritual,0.0,1,0.0,0.98
Esper Reanimator,Mono Black Necrodominance,0.0,1,0.0,0.98
Golgari Yawgmoth,Boros Energy,0.48,25,0.28,0.69
Golgari Yawgmoth,Affinity,0.41,22,0.21,0.64
Golgari Yawgmoth,Izzet Prowess,0.45,11,0.17,0.77
Golgari Yawgmoth,Domain Aggro,0.5,12,0.21,0.79
Golgari Yawgmoth,Jeskai Blink,0.7,10,0.35,0.93
Golgari Yawgmoth,Amulet Titan,0.43,7,0.1,0.82
Golgari Yawgmoth,Ruby Storm,0.78,9,0.4,0.97
Golgari Yawgmoth,Eldrazi Tron,0.54,13,0.25,0.81
Golgari Yawgmoth,Esper Reanimator,0.56,9,0.21,0.86
Golgari Yawgmoth,Golgari Yawgmoth,0.5,2,0.01,0.99
Golgari Yawgmoth,Eldrazi Ramp,0.38,8,0.09,0.76
Golgari Yawgmoth,Tameshi Belcher,0.3,10,0.07,0.65
Golgari Yawgmoth,Simic Ritual,0.75,4,0.19,0.99
Golgari Yawgmoth,Esper Phelia,0.0,4,0.0,0.6
Golgari Yawgmoth,Eldrazi Bloodchief Combo,0.0,2,0.0,0.84
Golgari Yawgmoth,Neoform,0.0,2,0.0,0.84
Golgari Yawgmoth,Azorius Control,0.5,2,0.01,0.99
Golgari Yawgmoth,Mill,1.0,2,0.16,1.0
Golgari Yawgmoth,Grixis Reanimator,1.0,2,0.16,1.0
Golgari Yawgmoth,Jeskai Control,0.5,2,0.01,0.99
Golgari Yawgmoth,Living End,0.6,5,0.15,0.95
Golgari Yawgmoth,Dimir Control,0.0,1,0.0,0.98
Golgari Yawgmoth,Samwise Combo,0.5,2,0.01,0.99
Golgari Yawgmoth,Dimir Frog,1.0,3,0.29,1.0
Golgari Yawgmoth,4 Color Omnath,1.0,1,0.02,1.0
Golgari Yawgmoth,Burn,0.33,3,0.01,0.91
Golgari Yawgmoth,4 Color Ritual,0.25,4,0.01,0.81
Eldrazi Ramp,Boros Energy,0.55,31,0.36,0.73
Eldrazi Ramp,Affinity,0.58,19,0.33,0.8
Eldrazi Ramp,Izzet Prowess,0.63,8,0.24,0.91
Eldrazi Ramp,Domain Aggro,0.6,10,0.26,0.88
Eldrazi Ramp,Jeskai Blink,0.75,4,0.19,0.99
Eldrazi Ramp,Amulet Titan,0.2,5,0.01,0.72
Eldrazi Ramp,Ruby Storm,0.17,6,0.0,0.64
Eldrazi Ramp,Eldrazi Tron,0.56,9,0.21,0.86
Eldrazi Ramp,Esper Reanimator,0.5,4,0.07,0.93
Eldrazi Ramp,Golgari Yawgmoth,0.63,8,0.24,0.91
Eldrazi Ramp,Eldrazi Ramp,0.5,6,0.12,0.88
Eldrazi Ramp,Tameshi Belcher,0.75,4,0.19,0.99
Eldrazi Ramp,Simic Ritual,0.5,6,0.12,0.88
Eldrazi Ramp,Esper Phelia,0.33,6,0.04,0.78
Eldrazi Ramp,Eldrazi Bloodchief Combo,0.67,3,0.09,0.99
Eldrazi Ramp,Neoform,0.5,2,0.01,0.99
Eldrazi Ramp,Azorius Control,0.5,6,0.12,0.88
Eldrazi Ramp,Mill,1.0,3,0.29,1.0
Eldrazi Ramp,Grixis Reanimator,0.75,4,0.19,0.99
Eldrazi Ramp,Living End,0.0,3,0.0,0.71
Eldrazi Ramp,Dimir Control,1.0,2,0.16,1.0
Eldrazi Ramp,Eldrazi Aggro,1.0,1,0.02,1.0
Eldrazi Ramp,Dimir Frog,1.0,1,0.02,1.0
Eldrazi Ramp,4 Color Omnath,0.5,2,0.01,0.99
Eldrazi Ramp,Burn,1.0,2,0.16,1.0
Eldrazi Ramp,4 Color Ritual,1.0,1,0.02,1.0
Eldrazi Ramp,Mono Black Necrodominance,0.0,1,0.0,0.98
Tameshi Belcher,Boros Energy,0.63,19,0.38,0.84
Tameshi Belcher,Affinity,0.44,9,0.14,0.79
Tameshi Belcher,Izzet Prowess,0.5,8,0.16,0.84
Tameshi Belcher,Domain Aggro,0.33,6,0.04,0.78
Tameshi Belcher,Jeskai Blink,0.67,12,0.35,0.9
Tameshi Belcher,Amulet Titan,1.0,6,0.54,1.0
Tameshi Belcher,Ruby Storm,0.71,7,0.29,0.96
Tameshi Belcher,Eldrazi Tron,0.67,6,0.22,0.96
Tameshi Belcher,Esper Reanimator,0.8,5,0.28,0.99
Tameshi Belcher,Golgari Yawgmoth,0.7,10,0.35,0.93
Tameshi Belcher,Eldrazi Ramp,0.25,4,0.01,0.81
Tameshi Belcher,Tameshi Belcher,0.5,6,0.12,0.88
Tameshi Belcher,Simic Ritual,0.0,2,0.0,0.84
Tameshi Belcher,Esper Phelia,1.0,3,0.29,1.0
Tameshi Belcher,Eldrazi Bloodchief Combo,0.6,5,0.15,0.95
Tameshi Belcher,Neoform,1.0,5,0.48,1.0
Tameshi Belcher,Azorius Control,0.5,4,0.07,0.93
Tameshi Belcher,Mill,1.0,2,0.16,1.0
Tameshi Belcher,Grixis Reanimator,1.0,1,0.02,1.0
Tameshi Belcher,Jeskai Control,0.0,1,0.0,0.98
Tameshi Belcher,Living End,1.0,1,0.02,1.0
Tameshi Belcher,Dimir Control,1.0,1,0.02,1.0
Tameshi Belcher,Eldrazi Aggro,0.5,2,0.01,0.99
Tameshi Belcher,Dimir Frog,0.5,2,0.01,0.99
Tameshi Belcher,Hollow One,0.0,1,0.0,0.98
Tameshi Belcher,Burn,0.0,1,0.0,0.98
Tameshi Belcher,Mono Black Necrodominance,1.0,1,0.02,1.0
Simic Ritual,Boros Energy,0.44,16,0.2,0.7
Simic Ritual,Affinity,0.18,11,0.02,0.52
Simic Ritual,Izzet Prowess,0.57,7,0.18,0.9
Simic Ritual,Domain Aggro,0.75,8,0.35,0.97
Simic Ritual,Jeskai Blink,0.38,8,0.09,0.76
Simic Ritual,Amulet Titan,0.5,4,0.07,0.93
Simic Ritual,Ruby Storm,0.6,5,0.15,0.95
Simic Ritual,Eldrazi Tron,0.6,5,0.15,0.95
Simic Ritual,Esper Reanimator,0.5,4,0.07,0.93
Simic Ritual,Golgari Yawgmoth,0.25,4,0.01,0.81
Simic Ritual,Eldrazi Ramp,0.5,6,0.12,0.88
Simic Ritual,Tameshi Belcher,1.0,2,0.16,1.0
Simic Ritual,Simic Ritual,0.5,2,0.01,0.99
Simic Ritual,Esper Phelia,0.57,7,0.18,0.9
Simic Ritual,Eldrazi Bloodchief Combo,0.2,5,0.01,0.72
Simic Ritual,Neoform,0.6,5,0.15,0.95
Simic Ritual,Mill,0.25,4,0.01,0.81
Simic Ritual,Grixis Reanimator,0.5,2,0.01,0.99
Simic Ritual,Jeskai Control,1.0,1,0.02,1.0
Simic Ritual,Living End,0.0,1,0.0,0.98
Simic Ritual,Dimir Control,1.0,2,0.16,1.0
Simic Ritual,Eldrazi Aggro,0.0,1,0.0,0.98
Simic Ritual,Dimir Frog,0.5,2,0.01,0.99
Simic Ritual,Burn,1.0,1,0.02,1.0
Simic Ritual,Mono Black Necrodominance,0.0,1,0.0,0.98
Esper Phelia,Boros Energy,0.56,25,0.35,0.76
Esper Phelia,Affinity,0.5,8,0.16,0.84
Esper Phelia,Izzet Prowess,0.75,8,0.35,0.97
Esper Phelia,Domain Aggro,0.0,4,0.0,0.6
Esper Phelia,Jeskai Blink,0.71,7,0.29,0.96
Esper Phelia,Amulet Titan,0.57,7,0.18,0.9
