a,b,winrate_a_vs_b,matches,ci_low,ci_high
Goblins,Goblins,0.5,8,0.16,0.84
Goblins,Stiflenought,0.4,5,0.05,0.85
Goblins,Burn,0.67,6,0.22,0.96
Goblins,Enchantress,0.25,4,0.01,0.81
Goblins,Devourer Combo,0.25,4,0.01,0.81
Goblins,Terrageddon,0.0,4,0.0,0.6
Goblins,Stasis,0.2,5,0.01,0.72
Goblins,Psychatog,0.86,7,0.42,1.0
Goblins,Mono Black,0.2,5,0.01,0.72
Goblins,Landstill,0.67,3,0.09,0.99
Goblins,Madness,1.0,2,0.16,1.0
Goblins,The Rock,0.33,3,0.01,0.91
Goblins,Survival Welder,0.0,1,0.0,0.98
Goblins,Angry Hermit,0.0,2,0.0,0.84
Goblins,The Solution,0.33,3,0.01,0.91
Goblins,Elves,1.0,1,0.02,1.0
Goblins,Reanimator,1.0,1,0.02,1.0
Goblins,Pit Rack,1.0,1,0.02,1.0
Goblins,BW Control,0.25,4,0.01,0.81
Goblins,GR Aggro,0.5,2,0.01,0.99
Goblins,Oath Spec,1.0,1,0.02,1.0
Goblins,Survival,1.0,1,0.02,1.0
Goblins,Gro-a-Tog,1.0,1,0.02,1.0
Goblins,Storm,1.0,1,0.02,1.0
Goblins,Oath Ponza,0.0,1,0.0,0.98
Goblins,Clerics,1.0,3,0.29,1.0
Goblins,Contamination,0.0,1,0.0,0.98
Goblins,Zombie Infestation,0.0,1,0.0,0.98
Goblins,Deadguy Ale,0.0,1,0.0,0.98
Stiflenought,Goblins,0.6,5,0.15,0.95
Stiflenought,Stiflenought,0.5,4,0.07,0.93
Stiflenought,Burn,0.67,3,0.09,0.99
Stiflenought,Enchantress,0.33,6,0.04,0.78
Stiflenought,Devourer Combo,1.0,3,0.29,1.0
Stiflenought,Terrageddon,0.4,5,0.05,0.85
Stiflenought,Stasis,0.33,3,0.01,0.91
Stiflenought,Psychatog,1.0,1,0.02,1.0
Stiflenought,Mono Black,0.0,1,0.0,0.98
Stiflenought,Landstill,0.33,3,0.01,0.91
Stiflenought,Madness,1.0,2,0.16,1.0
Stiflenought,The Rock,0.0,1,0.0,0.98
Stiflenought,Survival Welder,0.67,3,0.09,0.99
Stiflenought,Angry Hermit,0.0,1,0.0,0.98
Stiflenought,The Solution,1.0,1,0.02,1.0
Stiflenought,Elves,0.0,1,0.0,0.98
Stiflenought,Reanimator,1.0,3,0.29,1.0
Stiflenought,Pit Rack,1.0,2,0.16,1.0
Stiflenought,BW Control,0.0,1,0.0,0.98
Stiflenought,Oath Spec,1.0,2,0.16,1.0
Stiflenought,Survival,1.0,2,0.16,1.0
Stiflenought,Oath Ponza,0.0,1,0.0,0.98
Stiflenought,Clerics,0.5,2,0.01,0.99
Stiflenought,Contamination,0.0,1,0.0,0.98
Stiflenought,Survival Opposition,1.0,1,0.02,1.0
Stiflenought,Deadguy Ale,0.0,1,0.0,0.98
Burn,Goblins,0.33,6,0.04,0.78
Burn,Stiflenought,0.33,3,0.01,0.91
Burn,Burn,0.5,4,0.07,0.93
Burn,Devourer Combo,0.67,3,0.09,0.99
Burn,Terrageddon,0.0,1,0.0,0.98
Burn,Stasis,0.5,4,0.07,0.93
Burn,Psychatog,1.0,1,0.02,1.0
Burn,Landstill,1.0,1,0.02,1.0
Burn,Madness,1.0,1,0.02,1.0
Burn,The Rock,0.0,1,0.0,0.98
Burn,Survival Welder,0.0,1,0.0,0.98
Burn,Angry Hermit,0.0,1,0.0,0.98
Burn,The Solution,1.0,1,0.02,1.0
Burn,Elves,0.0,1,0.0,0.98
Burn,Reanimator,0.0,1,0.0,0.98
Burn,Pit Rack,0.0,1,0.0,0.98
Burn,BW Control,0.5,2,0.01,0.99
Burn,BUG Control,1.0,3,0.29,1.0
Burn,Gro-a-Tog,1.0,3,0.29,1.0
Burn,Oath Ponza,0.0,1,0.0,0.98
Burn,Survival Opposition,0.0,2,0.0,0.84
Burn,Aluren,1.0,1,0.02,1.0
Burn,Zombie Infestation,0.0,1,0.0,0.98
Enchantress,Goblins,0.75,4,0.19,0.99
Enchantress,Stiflenought,0.67,6,0.22,0.96
Enchantress,Enchantress,0.5,2,0.01,0.99
Enchantress,Devourer Combo,0.33,3,0.01,0.91
Enchantress,Terrageddon,0.25,4,0.01,0.81
Enchantress,Stasis,1.0,1,0.02,1.0
Enchantress,Psychatog,1.0,2,0.16,1.0
Enchantress,Mono Black,1.0,2,0.16,1.0
Enchantress,Landstill,1.0,2,0.16,1.0
Enchantress,Madness,0.67,3,0.09,0.99
Enchantress,The Rock,0.0,1,0.0,0.98
Enchantress,Survival Welder,1.0,1,0.02,1.0
Enchantress,Angry Hermit,0.0,3,0.0,0.71
Enchantress,Elves,0.0,1,0.0,0.98
Enchantress,Reanimator,1.0,1,0.02,1.0
Enchantress,Oath Spec,0.0,1,0.0,0.98
Enchantress,Storm,1.0,2,0.16,1.0
Enchantress,Deadguy Ale,1.0,1,0.02,1.0
Devourer Combo,Goblins,0.75,4,0.19,0.99
Devourer Combo,Stiflenought,0.0,3,0.0,0.71
Devourer Combo,Burn,0.33,3,0.01,0.91
Devourer Combo,Enchantress,0.67,3,0.09,0.99
Devourer Combo,Terrageddon,1.0,1,0.02,1.0
Devourer Combo,Stasis,0.0,1,0.0,0.98
Devourer Combo,Psychatog,1.0,1,0.02,1.0
Devourer Combo,Mono Black,0.67,3,0.09,0.99
Devourer Combo,Landstill,0.0,1,0.0,0.98
Devourer Combo,Madness,1.0,1,0.02,1.0
Devourer Combo,The Rock,0.0,1,0.0,0.98
Devourer Combo,Angry Hermit,0.0,2,0.0,0.84
Devourer Combo,Elves,1.0,1,0.02,1.0
Devourer Combo,Pit Rack,0.0,3,0.0,0.71
Devourer Combo,BW Control,1.0,2,0.16,1.0
Devourer Combo,GR Aggro,1.0,1,0.02,1.0
Devourer Combo,BUG Control,1.0,1,0.02,1.0
Devourer Combo,Gro-a-Tog,1.0,1,0.02,1.0
Devourer Combo,Storm,1.0,1,0.02,1.0
Devourer Combo,Oath Ponza,0.0,1,0.0,0.98
Terrageddon,Goblins,1.0,4,0.4,1.0
Terrageddon,Stiflenought,0.6,5,0.15,0.95
Terrageddon,Burn,1.0,1,0.02,1.0
Terrageddon,Enchantress,0.75,4,0.19,0.99
Terrageddon,Devourer Combo,0.0,1,0.0,0.98
Terrageddon,Terrageddon,0.5,2,0.01,0.99
Terrageddon,Madness,0.5,2,0.01,0.99
Terrageddon,Survival Welder,0.5,2,0.01,0.99
Terrageddon,Elves,1.0,1,0.02,1.0
Terrageddon,Pit Rack,1.0,1,0.02,1.0
Terrageddon,MUD,1.0,2,0.16,1.0
